PC,explained_variance_ratio,cumulative_variance
1.000000000000000000e+00,4.874044869783071832e-01,4.874044869783071832e-01
2.000000000000000000e+00,2.167448514222122258e-01,7.041493384005194089e-01
3.000000000000000000e+00,1.146171195717067132e-01,8.187664579722261360e-01
4.000000000000000000e+00,4.199031288142332508e-02,8.607567708536494333e-01
5.000000000000000000e+00,2.507367833812407937e-02,8.858304491917735612e-01
6.000000000000000000e+00,1.794499752562450298e-02,9.037754467173980677e-01
7.000000000000000000e+00,1.689567896204722044e-02,9.206711256794453124e-01
8.000000000000000000e+00,8.661247680763687132e-03,9.293323733602090186e-01
9.000000000000000000e+00,7.492821337690596176e-03,9.368251946978995992e-01
1.000000000000000000e+01,6.327629862025791439e-03,9.431528245599254401e-01
